Year,Gender,Age_Group,Employment_Status,Average_Employed
1978,Male,15-19 years,Employed full time,292.07
1978,Male,15-19 years,Employed part time,55.82
1978,Male,15-19 years,Not in the labour force  (NILF) ,243.99
1978,Male,15-19 years,Unemployed total,65.33
1978,Male,20-24 years,Employed full time,466.08
1978,Male,20-24 years,Employed part time,27.22
1978,Male,20-24 years,Not in the labour force  (NILF) ,56.74
1978,Male,20-24 years,Unemployed total,46.48
1978,Male,25-29 years,Employed full time,513.57
1978,Male,25-29 years,Employed part time,17.04
1978,Male,25-29 years,Not in the labour force  (NILF) ,24.64
1978,Male,25-29 years,Unemployed total,25.47
1978,Male,30-34 years,Employed full time,507.73
1978,Male,30-34 years,Employed part time,13.12
1978,Male,30-34 years,Not in the labour force  (NILF) ,18.73
1978,Male,30-34 years,Unemployed total,18.2
1978,Male,35-39 years,Employed full time,408.72
1978,Male,35-39 years,Employed part time,9.39
1978,Male,35-39 years,Not in the labour force  (NILF) ,15.88
1978,Male,35-39 years,Unemployed total,12.72
1978,Male,40-44 years,Employed full time,356.17
1978,Male,40-44 years,Employed part time,8.22
1978,Male,40-44 years,Not in the labour force  (NILF) ,16.95
1978,Male,40-44 years,Unemployed total,12.47
1978,Male,45-49 years,Employed full time,347.62
1978,Male,45-49 years,Employed part time,8.44
1978,Male,45-49 years,Not in the labour force  (NILF) ,23.32
1978,Male,45-49 years,Unemployed total,10.8
1978,Male,50-54 years,Employed full time,334.96
1978,Male,50-54 years,Employed part time,9.74
1978,Male,50-54 years,Not in the labour force  (NILF) ,39.33
1978,Male,50-54 years,Unemployed total,11.62
1978,Male,55-59 years,Employed full time,265.11
1978,Male,55-59 years,Employed part time,12.2
1978,Male,55-59 years,Not in the labour force  (NILF) ,57.91
1978,Male,55-59 years,Unemployed total,10.45
1978,Male,60-64 years,Employed full time,148.02
1978,Male,60-64 years,Employed part time,13.48
1978,Male,60-64 years,Not in the labour force  (NILF) ,114.94
1978,Male,60-64 years,Unemployed total,5.97
1978,Male,15-24 years,Employed full time,758.15
1978,Male,15-24 years,Employed part time,83.04
1978,Male,15-24 years,Not in the labour force  (NILF) ,300.72
1978,Male,15-24 years,Unemployed total,111.81
1978,Male,25-34 years,Employed full time,1021.29
1978,Male,25-34 years,Employed part time,30.16
1978,Male,25-34 years,Not in the labour force  (NILF) ,43.37
1978,Male,25-34 years,Unemployed total,43.67
1978,Male,35-44 years,Employed full time,764.89
1978,Male,35-44 years,Employed part time,17.62
1978,Male,35-44 years,Not in the labour force  (NILF) ,32.83
1978,Male,35-44 years,Unemployed total,25.19
1978,Male,45-54 years,Employed full time,682.58
1978,Male,45-54 years,Employed part time,18.18
1978,Male,45-54 years,Not in the labour force  (NILF) ,62.65
1978,Male,45-54 years,Unemployed total,22.42
1978,Male,55-64 years,Employed full time,413.13
1978,Male,55-64 years,Employed part time,25.68
1978,Male,55-64 years,Not in the labour force  (NILF) ,172.85
1978,Male,55-64 years,Unemployed total,16.42
1978,Male,65 years and over,Employed full time,42.83
1978,Male,65 years and over,Employed part time,25.56
